Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,T
W30X173,173.0,50.9,30.4,15,0.655,1.07,1.85,8230.0,607.0,541.0,12.7,598.0,123.0,79.8,3.42,15.6,129000,25.75
W30X148,148.0,43.6,30.7,10.5,0.65,1.18,1.83,6680.0,500.0,436.0,12.4,227.0,68.0,43.3,2.28,14.5,49400,25.75
W30X132,132.0,38.8,30.3,10.5,0.615,1,1.65,5770.0,437.0,380.0,12.2,196.0,58.4,37.2,2.25,9.72,42100,25.75
W30X124,124.0,36.5,30.2,10.5,0.585,0.93,1.58,5360.0,408.0,355.0,12.1,181.0,54.0,34.4,2.23,7.99,38600,25.75
W30X116,116.0,34.2,30,10.5,0.565,0.85,1.5,4930.0,378.0,329.0,12.0,164.0,49.2,31.3,2.19,6.43,34900,25.75
W30X108,108.0,31.7,29.8,10.5,0.545,0.76,1.41,4470.0,346.0,299.0,11.9,146.0,43.9,27.9,2.15,4.99,30900,25.75
W30X99,99.0,29.0,29.7,10.5,0.52,0.67,1.32,3990.0,312.0,269.0,11.7,128.0,38.6,24.5,2.1,3.77,26800,25.75
W30X90,90.0,26.3,29.5,10.4,0.47,0.61,1.26,3610.0,283.0,245.0,11.7,115.0,34.7,22.1,2.09,2.84,24000,25.75
W27X539,539.0,159.0,32.5,15.3,1.97,3.54,4.33,25600.0,1890.0,1570.0,12.7,2110.0,437.0,277.0,3.65,496,443000,23
W27X368,368.0,109.0,30.4,14.7,1.38,2.48,3.27,16200.0,1240.0,1060.0,12.2,1310.0,279.0,179.0,3.48,170,255000,23
W27X336,336.0,99.2,30,14.6,1.26,2.28,3.07,14600.0,1130.0,972.0,12.1,1180.0,252.0,162.0,3.45,131,226000,23
W27X307,307.0,90.2,29.6,14.4,1.16,2.09,2.88,13100.0,1030.0,887.0,12.0,1050.0,227.0,146.0,3.41,101,199000,23
W27X281,281.0,83.1,29.3,14.4,1.06,1.93,2.72,11900.0,936.0,814.0,12.0,953.0,206.0,133.0,3.39,79.5,178000,23
W27X258,258.0,76.1,29,14.3,0.98,1.77,2.56,10800.0,852.0,745.0,11.9,859.0,187.0,120.0,3.36,61.6,159000,23
W27X235,235.0,69.4,28.7,14.2,0.91,1.61,2.4,9700.0,772.0,677.0,11.8,769.0,168.0,108.0,3.33,47,141000,23
W27X217,217.0,63.9,28.4,14.1,0.83,1.5,2.29,8910.0,711.0,627.0,11.8,704.0,154.0,100.0,3.32,37.6,128000,23
W27X194,194.0,57.1,28.1,14,0.75,1.34,2.13,7860.0,631.0,559.0,11.7,619.0,136.0,88.1,3.29,27.1,111000,23
W27X178,178.0,52.5,27.8,14.1,0.725,1.19,1.98,7020.0,570.0,505.0,11.6,555.0,122.0,78.8,3.25,20.1,98400,23
W27X161,161.0,47.6,27.6,14,0.66,1.08,1.87,6310.0,515.0,458.0,11.5,497.0,109.0,70.9,3.23,15.1,87300,23
W27X146,146.0,43.2,27.4,14,0.605,0.975,1.76,5660.0,464.0,414.0,11.5,443.0,97.7,63.5,3.2,11.3,77200,23
W27X129,129.0,37.8,27.6,10,0.61,1.1,1.7,4760.0,395.0,345.0,11.2,184.0,57.6,36.8,2.21,11.1,32500,23
W27X114,114.0,33.6,27.3,10.1,0.57,0.93,1.53,4080.0,343.0,299.0,11.0,159.0,49.3,31.5,2.18,7.33,27600,23
W27X102,102.0,30.0,27.1,10,0.515,0.83,1.43,3620.0,305.0,267.0,11.0,139.0,43.4,27.8,2.15,5.28,24000,23
W27X94,94.0,27.6,26.9,10,0.49,0.745,1.34,3270.0,278.0,243.0,10.9,124.0,38.8,24.8,2.12,4.03,21300,23
W27X84,84.0,24.7,26.7,10,0.46,0.64,1.24,2850.0,244.0,213.0,10.7,106.0,33.2,21.2,2.07,2.81,17900,23
W24X370,370.0,109.0,28,13.7,1.52,2.72,3.22,13400.0,1130.0,957.0,11.1,1160.0,267.0,170.0,3.27,201,186000,20
W24X335,335.0,98.3,27.5,13.5,1.38,2.48,2.98,11900.0,1020.0,864.0,11.0,1030.0,238.0,152.0,3.23,152,161000,20
W24X306,306.0,89.7,27.1,13.4,1.26,2.28,2.78,10700.0,922.0,789.0,10.9,919.0,214.0,137.0,3.2,117,142000,20
W24X279,279.0,81.9,26.7,13.3,1.16,2.09,2.59,9600.0,835.0,718.0,10.8,823.0,193.0,124.0,3.17,90.5,125000,20
W24X250,250.0,73.5,26.3,13.2,1.04,1.89,2.39,8490.0,744.0,644.0,10.7,724.0,171.0,110.0,3.14,66.6,108000,20
W24X229,229.0,67.2,26,13.1,0.96,1.73,2.23,7650.0,675.0,588.0,10.7,651.0,154.0,99.4,3.11,51.3,96100,20
W24X207,207.0,60.7,25.7,13,0.87,1.57,2.07,6820.0,606.0,531.0,10.6,578.0,137.0,88.8,3.08,38.3,84100,20
W24X192,192.0,56.5,25.5,13,0.81,1.46,1.96,6260.0,559.0,491.0,10.5,530.0,126.0,81.8,3.07,30.8,76300,20
W24X176,176.0,51.7,25.2,12.9,0.75,1.34,1.84,5680.0,511.0,450.0,10.5,479.0,115.0,74.3,3.04,23.9,68400,20
W24X162,162.0,47.8,25,13,0.705,1.22,1.72,5170.0,468.0,414.0,10.4,443.0,105.0,68.4,3.05,18.5,62600,20
W24X146,146.0,43.0,24.7,12.9,0.65,1.09,1.59,4580.0,418.0,371.0,10.3,391.0,93.2,60.5,3.01,13.4,54600,20
W24X131,131.0,38.6,24.5,12.9,0.605,0.96,1.46,4020.0,370.0,329.0,10.2,340.0,81.5,53.0,2.97,9.5,47100,20
W24X117,117.0,34.4,24.3,12.8,0.55,0.85,1.35,3540.0,327.0,291.0,10.1,297.0,71.4,46.5,2.94,6.72,40800,20
W24X104,104.0,30.7,24.1,12.8,0.5,0.75,1.25,3100.0,289.0,258.0,10.1,259.0,62.4,40.7,2.91,4.72,35200,20
W24X103,103.0,30.3,24.5,9,0.55,0.98,1.48,3000.0,280.0,245.0,10.0,119.0,41.5,26.5,1.99,7.07,16600,20
W24X94,94.0,27.7,24.3,9.07,0.515,0.875,1.38,2700.0,254.0,222.0,9.87,109.0,37.5,24.0,1.98,5.26,15000,20
W24X84,84.0,24.7,24.1,9.02,0.47,0.77,1.27,2370.0,224.0,196.0,9.79,94.4,32.6,20.9,1.95,3.7,12800,20
W24X76,76.0,22.4,23.9,8.99,0.44,0.68,1.18,2100.0,200.0,176.0,9.69,82.5,28.6,18.4,1.92,2.68,11100,20
W24X68,68.0,20.1,23.7,8.97,0.415,0.585,1.09,1830.0,177.0,154.0,9.55,70.4,24.5,15.7,1.87,1.87,9430,20
W24X62,62.0,18.2,23.7,7.04,0.43,0.59,1.09,1550.0,153.0,131.0,9.23,34.5,15.7,9.8,1.38,1.71,4620,20.75
W24X55,55.0,16.2,23.6,7.01,0.395,0.505,1.01,1350.0,134.0,114.0,9.11,29.1,13.3,8.3,1.34,1.18,3870,20.75
W21X275,275.0,81.8,24.1,12.9,1.22,2.19,3.37,7690.0,749.0,638.0,9.7,787.0,191.0,122.0,3.1,107,94400,17.25
W21X248,248.0,73.8,23.7,12.8,1.1,1.99,3.17,6830.0,671.0,576.0,9.62,699.0,170.0,109.0,3.08,80.7,82400,17.25
W21X223,223.0,66.5,23.4,12.7,1,1.79,2.9699999999999998,6080.0,601.0,520.0,9.56,614.0,150.0,96.7,3.04,59.5,71700,17.25
W21X201,201.0,59.3,23,12.6,0.91,1.63,2.13,5310.0,530.0,461.0,9.47,542.0,133.0,86.1,3.02,40.9,62000,17.25
W21X182,182.0,53.6,22.7,12.5,0.83,1.48,1.98,4730.0,476.0,417.0,9.4,483.0,119.0,77.2,3.0,30.7,54400,17.25
W21X166,166.0,48.8,22.5,12.4,0.75,1.36,1.86,4280.0,432.0,380.0,9.36,435.0,108.0,70.0,2.99,23.6,48500,17.25
W21X147,147.0,43.2,22.1,12.5,0.72,1.15,1.65,3630.0,373.0,329.0,9.17,376.0,92.6,60.1,2.95,15.4,41100,17.25
W21X132,132.0,38.8,21.8,12.4,0.65,1.04,1.54,3220.0,333.0,295.0,9.12,333.0,82.3,53.5,2.93,11.3,36000,17.25
W21X122,122.0,35.9,21.7,12.4,0.6,0.96,1.46,2960.0,307.0,273.0,9.09,305.0,75.6,49.2,2.92,8.98,32700,17.25
W21X111,111.0,32.6,21.5,12.3,0.55,0.875,1.38,2670.0,279.0,249.0,9.05,274.0,68.2,44.5,2.9,6.83,29200,17.25
W21X101,101.0,29.8,21.4,12.3,0.5,0.8,1.3,2420.0,253.0,227.0,9.02,248.0,61.7,40.3,2.89,5.21,26200,17.25
W21X93,93.0,27.3,21.6,8.42,0.58,0.93,1.43,2070.0,221.0,192.0,8.7,92.9,34.7,22.1,1.84,6.03,9940,18.375
W21X83,83.0,24.4,21.4,8.36,0.515,0.835,1.34,1830.0,196.0,171.0,8.67,81.4,30.5,19.5,1.83,4.34,8630,18.375
W21X73,73.0,21.5,21.2,8.3,0.455,0.74,1.24,1600.0,172.0,151.0,8.64,70.6,26.6,17.0,1.81,3.02,7410,18.375
W21X68,68.0,20.0,21.1,8.27,0.43,0.685,1.19,1480.0,160.0,140.0,8.6,64.7,24.4,15.7,1.8,2.45,6760,18.375
